# Market-cap classification derived from NSE Indices constituent lists (2026-08-28).
# Source (SEBI/AMFI methodology equivalent):
#   Nifty 100          -> LARGE_CAP (top 100 by full market cap)
#   Nifty Midcap 150   -> MID_CAP   (ranks 101-250)
#   Nifty Smallcap 250 -> SMALL_CAP (ranks 251-500)
# Refresh: rerun tools/build-marketcap.py against the latest
# niftyindices.com/IndexConstituent/ind_nifty*list.csv files, then
# POST /admin/reload-classifications (hot-reload, no restart).
SYMBOL,CATEGORY
MARUTI,LARGE_CAP
MAXHEALTH,LARGE_CAP
MAZDOCK,LARGE_CAP
MCX,MID_CAP
MEDANTA,MID_CAP
MEESHO,SMALL_CAP
MFSL,MID_CAP
MGL,SMALL_CAP
MINDACORP,SMALL_CAP
MMTC,SMALL_CAP
MOTHERSON,LARGE_CAP
MOTILALOFS,MID_CAP
MPHASIS,MID_CAP
MRF,MID_CAP
MRPL,SMALL_CAP
MSUMI,SMALL_CAP
MUTHOOTFIN,LARGE_CAP
NAM-INDIA,MID_CAP
NATCOPHARM,SMALL_CAP
NATIONALUM,MID_CAP
NAUKRI,MID_CAP
NAVA,SMALL_CAP
NAVINFLUOR,SMALL_CAP
NBCC,SMALL_CAP
NCC,SMALL_CAP
NESTLEIND,LARGE_CAP
NETWEB,SMALL_CAP
NEULANDLAB,SMALL_CAP
NEWGEN,SMALL_CAP
NH,SMALL_CAP
NHPC,MID_CAP
NIACL,MID_CAP
NIVABUPA,SMALL_CAP
NLCINDIA,MID_CAP
NMDC,MID_CAP
NSLNISP,SMALL_CAP
NTPC,LARGE_CAP
NTPCGREEN,MID_CAP
NUVAMA,SMALL_CAP
NUVOCO,SMALL_CAP
NYKAA,MID_CAP
OBEROIRLTY,MID_CAP
OFSS,MID_CAP
OIL,MID_CAP
OLAELEC,SMALL_CAP
OLECTRA,SMALL_CAP
ONESOURCE,SMALL_CAP
ONGC,LARGE_CAP
PAGEIND,MID_CAP
PARADEEP,SMALL_CAP
PATANJALI,MID_CAP
PAYTM,MID_CAP
PCBL,SMALL_CAP
PERSISTENT,MID_CAP
PETRONET,MID_CAP
PFC,LARGE_CAP
PFIZER,SMALL_CAP
PFOCUS,SMALL_CAP
PGEL,SMALL_CAP
PHOENIXLTD,MID_CAP
PIDILITIND,LARGE_CAP
